English,Greek
Cant save empty recipe.,Cant save empty recipe.
Palette is full.,Palette is full.
Are you sure you want to delete this color from palette?,Are you sure you want to delete this color from palette?
You are not connected to Strange Cloud and cannot use the store.,You are not connected to Strange Cloud and cannot use the store.
Waiting on last purchase to compelte.,Waiting on last purchase to compelte.
Purchase complete!,Purchase complete!
{0} spent.,{0} spent.
 {0} ({1}) sent to {2}, {0} ({1}) sent to {2}
{0} ({1}) sent to {2},{0} ({1}) sent to {2}
Not enough credits to buy this.,Not enough credits to buy this.
Buy {0} for {1}?,Buy {0} for {1}?
Failed to buy:,Failed to buy:
"{0}: Because your Steam account is new, you will not be able to spend these Eco Credits until 72 hours have passed after purchasing (fraud protection). Proceed?","{0}: Because your Steam account is new, you will not be able to spend these Eco Credits until 72 hours have passed after purchasing (fraud protection). Proceed?"
Failed to buy,Failed to buy
Complete purchase failed: {0},Complete purchase failed: {0}
"To purchase Eco Credits, you will need to link your account to Steam at {0}","To purchase Eco Credits, you will need to link your account to Steam at {0}"
Purchase failed,Purchase failed
Hosting world,Hosting world
Each blueprint will allow you to craft 1 item of that type in each world.,Each blueprint will allow you to craft 1 item of that type in each world.
NOTE,NOTE
"Because your Steam account is new, you may buy Eco Credits but you cannot spend them until 72 hours have passed after purchasing (fraud protection).","Because your Steam account is new, you may buy Eco Credits but you cannot spend them until 72 hours have passed after purchasing (fraud protection)."
Your steam account is locked and you cannot use the store.,Your steam account is locked and you cannot use the store.
Owned: {0},Owned: {0}
Crafted at: {0},Crafted at: {0}
"Cannot purchase these in Unity Editor, because Steam overlay doesn't work here. Would you like to auto-complete the purchase if youre logged in as an admin?","Cannot purchase these in Unity Editor, because Steam overlay doesn't work here. Would you like to auto-complete the purchase if youre logged in as an admin?"
Current host not eligible,Current host not eligible
Must be public and have several active players who have played for a while.,Must be public and have several active players who have played for a while.
You can still spend credits obtained through other means however.,You can still spend credits obtained through other means however.
Placment Blocked by {0},Placment Blocked by {0}
Placement Blocked,Placement Blocked
another object,another object
Mixing,Mixing
You have no buckets of such color to select,You have no buckets of such color to select
"Sprayer is empty, add some paint into it.","Sprayer is empty, add some paint into it."
Already painted with this color,Already painted with this color
Pick color,Pick color
Can't shoot bow while inside of water.,Can't shoot bow while inside of water.
You own this plot.,You own this plot.
Deed display on placement,Deed display on placement
You do not own this plot.,You do not own this plot.
Unowned plot.,Unowned plot.
"When turned off, eyes considered as closed only when both eyes are closed. When turned on, each eye blink is detected independently.","When turned off, eyes considered as closed only when both eyes are closed. When turned on, each eye blink is detected independently."
Allow winking,Allow winking
Sprayer cant consume this item.,Sprayer cant consume this item.
This object has already been picked up.,This object has already been picked up.
"Note: when there are multiple residents, the penalty for multiple rooms of the same type is reduced.  IE, more bedrooms is more beneficial when you have roommates.","Note: when there are multiple residents, the penalty for multiple rooms of the same type is reduced.  IE, more bedrooms is more beneficial when you have roommates."
"The {0} {1} determines the cultural value of the {2}. Only {3} reputation counts, {4} reputation is ignored.","The {0} {1} determines the cultural value of the {2}. Only {3} reputation counts, {4} reputation is ignored."
A work's {0} value is capped at {1}x the artist's reputation. Negative reputation is ignored.,A work's {0} value is capped at {1}x the artist's reputation. Negative reputation is ignored.
"Reputation from the settlement that the work is currently placed in is reduced by {0}.  Thus, foriegn opinion matters more for culture value (some works, like paintings, can be traded and yield net positive culture to two settlements).","Reputation from the settlement that the work is currently placed in is reduced by {0}.  Thus, foriegn opinion matters more for culture value (some works, like paintings, can be traded and yield net positive culture to two settlements)."
Final value (capped at {0}x of artist's value):,Final value (capped at {0}x of artist's value):
Note: Culture reduced to zero because not placed in a Settlement yet.,Note: Culture reduced to zero because not placed in a Settlement yet.
Note: Culture reduced to zero because the artist has no positive reputation.,Note: Culture reduced to zero because the artist has no positive reputation.
Cultural Value in {0},Cultural Value in {0}
Cultural Value Without Settlement,Cultural Value Without Settlement
Right click to select for sprayer tool,Right click to select for sprayer tool
Can select color only from your inventory!,Can select color only from your inventory!
Cannot give reputation to a picture that is not placed in a picture frame.,Cannot give reputation to a picture that is not placed in a picture frame.
Cannot give reputation to a picture that is too far away.,Cannot give reputation to a picture that is too far away.
picture,picture
The application of {0} to become a member was rejected by {1}.,The application of {0} to become a member was rejected by {1}.
Housing Multiplier,Housing Multiplier
{0} from {1} {2} from {3} {4}.,{0} from {1} {2} from {3} {4}.
No deed specified or at current location.,No deed specified or at current location.
{0} given to all pictures.,{0} given to all pictures.
{0} given to all pictures in {1}.,{0} given to all pictures in {1}.
Cultural Trailblazers ,Cultural Trailblazers 
Create 100 total culture as a world.,Create 100 total culture as a world.
Cultural Awakening,Cultural Awakening
Create 250 total culture as a world.,Create 250 total culture as a world.
Cultural Vanguard,Cultural Vanguard
Create 1000 total culture as a world.,Create 1000 total culture as a world.
Fresh Canvas,Fresh Canvas
Create an artwork that generates 5 culture.,Create an artwork that generates 5 culture.
Create an artwork that generates 20 culture.,Create an artwork that generates 20 culture.
Famed Work,Famed Work
Create an artwork that generates 50 culture.,Create an artwork that generates 50 culture.
Renowned Work,Renowned Work
Create an artwork that generates 200 culture.,Create an artwork that generates 200 culture.
Visionary Work,Visionary Work
Create an artwork that generates 500 culture.,Create an artwork that generates 500 culture.
Create an artwork that generates 1000 culture.,Create an artwork that generates 1000 culture.
Create an artwork that generates 5000 culture.,Create an artwork that generates 5000 culture.
Impossible Beauty,Impossible Beauty
Create an artwork that generates 10000 culture.,Create an artwork that generates 10000 culture.
Noteworthy Construction,Noteworthy Construction
Create architecture that generates 5 culture.,Create architecture that generates 5 culture.
Foundational Excellence,Foundational Excellence
Create architecture that generates 20 culture.,Create architecture that generates 20 culture.
Structural Magnificence,Structural Magnificence
Create architecture that generates 50 culture.,Create architecture that generates 50 culture.
Famed Landmark,Famed Landmark
Create architecture that generates 200 culture.,Create architecture that generates 200 culture.
Excellent Edificie,Excellent Edificie
Create architecture that generates 500 culture.,Create architecture that generates 500 culture.
Grand Monument,Grand Monument
Create architecture that generates 1000 culture.,Create architecture that generates 1000 culture.
Legendary Masterwork,Legendary Masterwork
Create architecture that generates 5000 culture.,Create architecture that generates 5000 culture.
Eternal Perfection,Eternal Perfection
Create architecture that generates 10000 culture.,Create architecture that generates 10000 culture.
No remaining children settlements.,No remaining children settlements.
Click the button to unveil the {0} foundation and found the {1}.,Click the button to unveil the {0} foundation and found the {1}.
"After founding {0} you will not be able to move the foundation more than {1}m from its founding position anymore and moving it will not change the source position of influence, which will stay at the original position.","After founding {0} you will not be able to move the foundation more than {1}m from its founding position anymore and moving it will not change the source position of influence, which will stay at the original position."
"You placed a {0} claim stake in the influence of {1}, this allows you to claim outside the influence of the {2}, extending its influence into the parent {3}.","You placed a {0} claim stake in the influence of {1}, this allows you to claim outside the influence of the {2}, extending its influence into the parent {3}."
Note: this can be overriden if 'Block Children Settlements From Influencing Property' is checked on the claim stake.,Note: this can be overriden if 'Block Children Settlements From Influencing Property' is checked on the claim stake.
Claim papers returned because the homestead is now part of {0}.,Claim papers returned because the homestead is now part of {0}.
"If you place your homestead here you will lose direct citizenship of {0} and gain direct citizenship of {1}, do you want to proceed?","If you place your homestead here you will lose direct citizenship of {0} and gain direct citizenship of {1}, do you want to proceed?"
claim paper,claim paper
{0}'s Backpack,{0}'s Backpack
{0}'s Toolbar,{0}'s Toolbar
"Paint mixing workbench only accepts pigments, base paint and mixed paint buckets","Paint mixing workbench only accepts pigments, base paint and mixed paint buckets"
Inventory lock wasn't disposed after {0} of creation. It could mean that lock will never be released. {1}.,Inventory lock wasn't disposed after {0} of creation. It could mean that lock will never be released. {1}.
" - In {0} rooms, up to {1}."," - In {0} rooms, up to {1}."
Admin Applied Property Value Boost: +{0}.,Admin Applied Property Value Boost: +{0}.
Architecture Multiplier:,Architecture Multiplier:
{0} yields {1},{0} yields {1}
Admin Boost: +{0}.,Admin Boost: +{0}.
Housing Value Mulitplier,Housing Value Mulitplier
Architecture Cultural Value,Architecture Cultural Value
Architectural Culture Value:,Architectural Culture Value:
Admin Boost: +{0},Admin Boost: +{0}
architecture cultural value,architecture cultural value
The bank account {0} was closed and all contained funds were sent to you.,The bank account {0} was closed and all contained funds were sent to you.
The bank account {0} was closed and all contained funds were divided among: {1}.,The bank account {0} was closed and all contained funds were divided among: {1}.
Closing {0} Account,Closing {0} Account
This plaque is not placed on claimed property and thus cannot be used to rate architecture.,This plaque is not placed on claimed property and thus cannot be used to rate architecture.
Remove Articles:,Remove Articles:
Add Articles:,Add Articles:
Amended Articles,Amended Articles
Removed by {0},Removed by {0}
Election process must be in the same settlement (or a parent) as the article.,Election process must be in the same settlement (or a parent) as the article.
You setup a shop! First item for sale was {0}.,You setup a shop! First item for sale was {0}.
"Paid 50 backing-units of currency in taxes (IE, 50 gold ingots worth of currency, when backed by gold ingots, which may be different from the currency value).","Paid 50 backing-units of currency in taxes (IE, 50 gold ingots worth of currency, when backed by gold ingots, which may be different from the currency value)."
Custom Search {0},Custom Search {0}
Remove {0} from {1}?,Remove {0} from {1}?
Name your custom search option,Name your custom search option
"No custom list found, Create a custom list to add recipes to it","No custom list found, Create a custom list to add recipes to it"
Select custom list to add this recipe to,Select custom list to add this recipe to
No custom lists to delete,No custom lists to delete
You must have logged into a world to report it.,You must have logged into a world to report it.
Must describe why you are reporting the server.,Must describe why you are reporting the server.
Error reporting server: {0},Error reporting server: {0}
Server reported successfully.,Server reported successfully.
day {0},day {0}
{0} users online,{0} users online
Match Target,Match Target
"Fixed {0} invalid objects, check player log to see the details.","Fixed {0} invalid objects, check player log to see the details."
No invalid objects found.,No invalid objects found.
self,self
Surface Tags.Can Be On Rug,Surface Tags.Can Be On Rug
Surface Tags.Can Be On Table Top,Surface Tags.Can Be On Table Top
Failed to process view update,Failed to process view update
Text is too long. Text length: {0} Max length: {1},Text is too long. Text length: {0} Max length: {1}
Text is too short. Text length: {0} Min length: {1},Text is too short. Text length: {0} Min length: {1}
Eco Credits,Eco Credits
Argument '{0}' should be passed without a value. Passed value will be ignored.,Argument '{0}' should be passed without a value. Passed value will be ignored.
"Argument '{0}' has to be passed with a value using the following format: -{1}=""value","Argument '{0}' has to be passed with a value using the following format: -{1}=""value"
Red,Red
Green,Green
Blue,Blue
Cyan,Cyan
Magenta,Magenta
Yellow,Yellow
Black,Black
White,White
"If the issue continues, our services might be under maintenance. Check the status of our servers at {0}. If our services are interrupted the server needs to be restarted in offline mode.","If the issue continues, our services might be under maintenance. Check the status of our servers at {0}. If our services are interrupted the server needs to be restarted in offline mode."
"For further assistance please reach out to {0}, to receive the latest news about Eco you can join our Discord at {1}.","For further assistance please reach out to {0}, to receive the latest news about Eco you can join our Discord at {1}."
The server is disconnected from Strange Loop servers and needs to be restarted in online mode.,The server is disconnected from Strange Loop servers and needs to be restarted in online mode.
The server is connected to Strange Loop Servers but you are not. Must be connected to Strange Loop Servers to login here.,The server is connected to Strange Loop Servers but you are not. Must be connected to Strange Loop Servers to login here.
Unaffiliated,Unaffiliated
"Eco Server {0},","Eco Server {0},"
Logged in as {0},Logged in as {0}
Running in offline mode,Running in offline mode
Failed to set user token. Exception: {0},Failed to set user token. Exception: {0}
Logged in to Strange Cloud using {0}.,Logged in to Strange Cloud using {0}.
Unexpected Strange Cloud authentication attempt result: {0}.,Unexpected Strange Cloud authentication attempt result: {0}.
Failed to load session info: {0},Failed to load session info: {0}
"Username was provided, but password is missing.","Username was provided, but password is missing."
"Password was provided, but username is missing.","Password was provided, but username is missing."
All authentication methods failed.,All authentication methods failed.
No authentication methods were available.,No authentication methods were available.
Strange Cloud authentication with {0} failed with error: {1}.,Strange Cloud authentication with {0} failed with error: {1}.
Login failed:\n{0},Login failed:\n{0}
Unknown error.,Unknown error.
user token,user token
Steam ticket,Steam ticket
username and password,username and password
hardcoded debug username and password,hardcoded debug username and password
username and password dialog,username and password dialog
Server startup was canceled by user.,Server startup was canceled by user.
User does not own Eco.,User does not own Eco.
offline mode arguments (-offline or -nonetwork),offline mode arguments (-offline or -nonetwork)
You were demoted.,You were demoted.
Your demotion was revoked.,Your demotion was revoked.
Demotes user from adnim to a regular user until server is restarted or this command is invoked again.,Demotes user from adnim to a regular user until server is restarted or this command is invoked again.
Sending {0} minimap objects to {1},Sending {0} minimap objects to {1}
Craft more adobe blocks and fully enclose a room with walls and a ceiling.,Craft more adobe blocks and fully enclose a room with walls and a ceiling.
Claim some land by right-clicking nearby plots.,Claim some land by right-clicking nearby plots.
You'll need to combine wood and dirt at your {0} to build with them.,You'll need to combine wood and dirt at your {0} to build with them.
Open the workbench and find the {0} Recipe. Click 'Start Project'.,Open the workbench and find the {0} Recipe. Click 'Start Project'.
Collect at least 4 {0} blocks in hand.  Make more if needed.,Collect at least 4 {0} blocks in hand.  Make more if needed.
Find the Workbench Recipe and click 'Start Project'.,Find the Workbench Recipe and click 'Start Project'.
Prepare Adobe for Building,Prepare Adobe for Building
"When complete, pick up the Adobe from the storage tab.","When complete, pick up the Adobe from the storage tab."
Use a hammer to start building a house from the materials you've processed.,Use a hammer to start building a house from the materials you've processed.
Place down the {0} blocks somewhere on land you own to form the beginning frame of your room.,Place down the {0} blocks somewhere on land you own to form the beginning frame of your room.
Strange Cloud,Strange Cloud
You do not own the blueprint needed for that recipe.,You do not own the blueprint needed for that recipe.
You cannot create anymore of this item unless you buy more blueprints.,You cannot create anymore of this item unless you buy more blueprints.
You only have enough blueprints to make {0} more.,You only have enough blueprints to make {0} more.
"You are trying to learn {0}, this will consume {1}, leaving you with {2} remaining. Continue?","You are trying to learn {0}, this will consume {1}, leaving you with {2} remaining. Continue?"
{0} per Citizen and ({1} spawned),{0} per Citizen and ({1} spawned)
Potential Parent {0},Potential Parent {0}
"Note: This report considers only initial placement. As you expand your claim with more plots, these values will change.","Note: This report considers only initial placement. As you expand your claim with more plots, these values will change."
Report on placing a {0} at {1},Report on placing a {0} at {1}
Potenential Member {0},Potenential Member {0}
A {0}'s influence must cover {1} of a {2} to claim it as a member.,A {0}'s influence must cover {1} of a {2} to claim it as a member.
"If the {0} foundation is placed here, its base influence range of {1}m gives these results:","If the {0} foundation is placed here, its base influence range of {1}m gives these results:"
In influence range and may become a parent.,In influence range and may become a parent.
Not in influence range to become a parent ({0}m too far),Not in influence range to become a parent ({0}m too far)
Use this to see the range of nearby settlements and homesteads and decide if you want to place here.,Use this to see the range of nearby settlements and homesteads and decide if you want to place here.
{0}m away,{0}m away
No relevant settlements found.,No relevant settlements found.
{0} removals:,{0} removals:
{0} was destroyed,{0} was destroyed
{0} has ended its property crisis.,{0} has ended its property crisis.
Property crisis at {0},Property crisis at {0}
{0} was removed from {1}: {2},{0} was removed from {1}: {2}
"{0} {1} {2} of {3}, but requires {4}.","{0} {1} {2} of {3}, but requires {4}."
"{0} {1} {2} of {3}, meeting the requirement of {4}.","{0} {1} {2} of {3}, meeting the requirement of {4}."
{0}'s influence,{0}'s influence
A new {0}'s base influence ({1}m radius),A new {0}'s base influence ({1}m radius)
only covers,only covers
will cover (when founded),will cover (when founded)
will reach,will reach
would then cover only,would then cover only
Created and assigned {0},Created and assigned {0}
Warning: {0} was missing some core government objects and they were created.{1},Warning: {0} was missing some core government objects and they were created.{1}
Tier out of range.,Tier out of range.
enabled.,enabled.
disabled.,disabled.
Failed to remove from citizenship.,Failed to remove from citizenship.
Dissolved {0},Dissolved {0}
You were removed from {0}: {1},You were removed from {0}: {1}
Can't take citizenship:,Can't take citizenship:
"After you take Citizenship, {0} from other settlements and all {1} will no longer work on your Homestead, and you will be short {2} claims needed to cover the claimed land.","After you take Citizenship, {0} from other settlements and all {1} will no longer work on your Homestead, and you will be short {2} claims needed to cover the claimed land."
"To compensate for this, {0} claim papers from {1} can be added before taking citizenship, and the transition will seamlessly happen without lost plots.","To compensate for this, {0} claim papers from {1} can be added before taking citizenship, and the transition will seamlessly happen without lost plots."
"Alternatively, you can unclaim some land on your homestead.","Alternatively, you can unclaim some land on your homestead."
{0} cannot join {1}:,{0} cannot join {1}:
paper,paper
{0} has been re-enabled and is functioning normally again.,{0} has been re-enabled and is functioning normally again.
{0} was liquidated. Moved following bank accounts to {1}:,{0} was liquidated. Moved following bank accounts to {1}:
"{0} has been disabled for too long, and now {1} is disabled!","{0} has been disabled for too long, and now {1} is disabled!"
It will not cast influence outside of its property nor enforce laws until the foundation is fixed.,It will not cast influence outside of its property nor enforce laws until the foundation is fixed.
Dissolution of {0},Dissolution of {0}
{0} is {1}!,{0} is {1}!
*** Deed is Overburdened! ***,*** Deed is Overburdened! ***
Plot Sources:,Plot Sources:
overburdened,overburdened
"If this is not fixed before {0}, the farthest plots will be unclaimed.","If this is not fixed before {0}, the farthest plots will be unclaimed."
{0} was {1} and lost {2}.,{0} was {1} and lost {2}.
{0} from {1},{0} from {1}
General {0},General {0}
Returned Claim Papers,Returned Claim Papers
{0}'s inventory,{0}'s inventory
Settlement foundation's inventory,Settlement foundation's inventory
Not enough claim papers are in its inventory to support all the claimed plots.,Not enough claim papers are in its inventory to support all the claimed plots.
{2} will be disabled in {3}.,{2} will be disabled in {3}.
Either add more claim papers to the claim stake or manually remove plots.,Either add more claim papers to the claim stake or manually remove plots.
"Can't claim plot, must be under the influence of {0} or a settlement that has given special border control permission on its foundation.","Can't claim plot, must be under the influence of {0} or a settlement that has given special border control permission on its foundation."
"Can't claim plot, it's under the influence of a settlement that you're not part of and didn't give you any special permission.","Can't claim plot, it's under the influence of a settlement that you're not part of and didn't give you any special permission."
"{0} will not genereate any housing points, because it vertically overlaps {1}.","{0} will not genereate any housing points, because it vertically overlaps {1}."
You will lose access to all items owned by {0} on the {1}.,You will lose access to all items owned by {0} on the {1}.
Right-click and move to draw. Click at already-taken plot to erase.  Press left-control to temporarily switch layers.,Right-click and move to draw. Click at already-taken plot to erase.  Press left-control to temporarily switch layers.
architecture,architecture
architecture's,architecture's
Can't change plots: deed no longer exists,Can't change plots: deed no longer exists
{0}'s id is {1}.,{0}'s id is {1}.
Plugins not initialized.,Plugins not initialized.
Cannot attach {0} as it's owning settlement {1} doesn't influence this position.,Cannot attach {0} as it's owning settlement {1} doesn't influence this position.
"Can't move here, this plot is not in {0}. Must re-place to change deeds.","Can't move here, this plot is not in {0}. Must re-place to change deeds."
"Can't move here, the original position is unclaimed but this position is on the deed {0}. Must re-place to change deeds.","Can't move here, the original position is unclaimed but this position is on the deed {0}. Must re-place to change deeds."
Warning: {0} will be removed in {1} if {2} is not repaired.,Warning: {0} will be removed in {1} if {2} is not repaired.
This object is DISABLED along with its contained objects: {0}.,This object is DISABLED along with its contained objects: {0}.
WARNING: This {0} is INVALID and each contained {1} will be disabled on {2} if not corrected.,WARNING: This {0} is INVALID and each contained {1} will be disabled on {2} if not corrected.
The following {0} will be disabled: {1},The following {0} will be disabled: {1}
WARNING: This {0} is INVALID and {1} will be disabled on {2} if not corrected.,WARNING: This {0} is INVALID and {1} will be disabled on {2} if not corrected.
{0} inventories return.,{0} inventories return.
{0} Removed Claim Stake,{0} Removed Claim Stake
Can't interact with vehicle while steering.,Can't interact with vehicle while steering.
Orphaned crafting component.,Orphaned crafting component.
Couldn't start work order:,Couldn't start work order:
Tool will be much less efficient until repaired.,Tool will be much less efficient until repaired.
additional -{0} penalty to max durability,additional -{0} penalty to max durability
no additional penalty to max durability,no additional penalty to max durability
Containing object will be disabled until repaired or replaced.,Containing object will be disabled until repaired or replaced.
Parts,Parts
{0} must influence this location in order to use it's claim papers inside it.,{0} must influence this location in order to use it's claim papers inside it.
{0:verb},{0:verb}
Reduces durability by {0} per hour of use.,Reduces durability by {0} per hour of use.
This will also pickup {0},This will also pickup {0}
{0} is at full durability.,{0} is at full durability.
Can be repaired with:,Can be repaired with:
Requires skills:,Requires skills:
Repairing at this table will reduce max durability by -{0},Repairing at this table will reduce max durability by -{0}
{0} is beyond repair.,{0} is beyond repair.
{0} is already at its max durability (max durability has been reduced to {1} due to prior repairs).,{0} is already at its max durability (max durability has been reduced to {1} due to prior repairs).
No repair material on table to repair {0}.,No repair material on table to repair {0}.
Cannot repair {0} with {1}.,Cannot repair {0} with {1}.
"Not enough {0} to repair {1}, {2} needed.","Not enough {0} to repair {1}, {2} needed."
{0} repaired to durability of {1}.,{0} repaired to durability of {1}.
The repair has reduced max durability {0} from {1} to {2}.,The repair has reduced max durability {0} from {1} to {2}.
"Unable to repair, table is disabled. Check status tab.","Unable to repair, table is disabled. Check status tab."
{0} Missing part {1} x{2}.,{0} Missing part {1} x{2}.
"{0} Not enough of part {1}, {2} needed.","{0} Not enough of part {1}, {2} needed."
{0} Broken part {1}.,{0} Broken part {1}.
{0} Has working {1} ({2} durability).,{0} Has working {1} ({2} durability).
Can't clear contained parts.,Can't clear contained parts.
"The {0} has broken inside your {1}, disabling it.","The {0} has broken inside your {1}, disabling it."
All parts working:,All parts working:
Parts not working.,Parts not working.
All parts at {0} durability.,All parts at {0} durability.
This object does not accept that part.,This object does not accept that part.
This object does not need more of this part.,This object does not need more of this part.
Color recipe is empty!,Color recipe is empty!
Not enough base paint buckets provided!,Not enough base paint buckets provided!
Cant find matching color powder for {0} color!,Cant find matching color powder for {0} color!
Mixed {0} buckets of {1}!,Mixed {0} buckets of {1}!
{0} can only produce a maximum of {1} coins per item.,{0} can only produce a maximum of {1} coins per item.
Note: items contained will also be sold.,Note: items contained will also be sold.
Reducing durability by {0} per hour of use.,Reducing durability by {0} per hour of use.
Will reduce durability by {0} per hour of use (some recipes may have different rates).,Will reduce durability by {0} per hour of use (some recipes may have different rates).
{0} Achievements,{0} Achievements
Duplicate IDs detected: {0},Duplicate IDs detected: {0}
{0}: {1} duplicates,{0}: {1} duplicates
Starting in offline mode. Updated user data and registration in server browser will be unavailable.,Starting in offline mode. Updated user data and registration in server browser will be unavailable.
"Eco Server {0}, Logged in as {1}","Eco Server {0}, Logged in as {1}"
"Eco Server {0}, Running in offline mode","Eco Server {0}, Running in offline mode"
Steamworks support on macOS is not implemented. User authentication will be disabled in offline mode.,Steamworks support on macOS is not implemented. User authentication will be disabled in offline mode.
Failed to open server GUI. You can run with -nogui to hide this warning. The exception encountered was:\n{0},Failed to open server GUI. You can run with -nogui to hide this warning. The exception encountered was:\n{0}
Reset Server ID,Reset Server ID
Update All Config Templates,Update All Config Templates
Steam Game Server initialized.,Steam Game Server initialized.
Connection attempt timed out after: {0} ms.,Connection attempt timed out after: {0} ms.
Successfully connected to Steam servers.,Successfully connected to Steam servers.
Unexpected response: {0},Unexpected response: {0}
Unexpected result: {0},Unexpected result: {0}
Failed to connect to Steam servers. User authentication will be disabled.,Failed to connect to Steam servers. User authentication will be disabled.
Another client is already trying to authenticate using this Steam ID.,Another client is already trying to authenticate using this Steam ID.
Operation timed out.,Operation timed out.
"Steam has verified the user is online, the ticket is valid and ticket has not been reused.","Steam has verified the user is online, the ticket is valid and ticket has not been reused."
The user in question is not connected to Steam.,The user in question is not connected to Steam.
The user doesn't have a license for this App ID or the ticket has expired.,The user doesn't have a license for this App ID or the ticket has expired.
The user is VAC banned for this game.,The user is VAC banned for this game.
The user account has logged in elsewhere and the session containing the game instance has been disconnected.,The user account has logged in elsewhere and the session containing the game instance has been disconnected.
VAC has been unable to perform anti-cheat checks on this user.,VAC has been unable to perform anti-cheat checks on this user.
The ticket has been canceled by the issuer.,The ticket has been canceled by the issuer.
"This ticket has already been used, it is not valid.","This ticket has already been used, it is not valid."
This ticket is not from a user instance currently connected to Steam.,This ticket is not from a user instance currently connected to Steam.
The user is banned for this game. The ban came via the web api and not VAC.,The user is banned for this game. The ban came via the web api and not VAC.
Ticket is valid for this game and this Steam ID.,Ticket is valid for this game and this Steam ID.
The ticket is invalid.,The ticket is invalid.
A ticket has already been submitted for this Steam ID.,A ticket has already been submitted for this Steam ID.
Ticket is from an incompatible interface version.,Ticket is from an incompatible interface version.
Ticket is not for this game.,Ticket is not for this game.
Ticket has expired.,Ticket has expired.
Required Skills,Required Skills
Required Achievements,Required Achievements
Advanced building,Advanced building
Allows diagonal building by targeting block edges.,Allows diagonal building by targeting block edges.
Allow Placing on Unowned Land	,Allow Placing on Unowned Land	
"When checked, will skip warnings about placing on unowned land.","When checked, will skip warnings about placing on unowned land."
Skip building animation,Skip building animation
"When checked, will skip the hammer swing animation to place blocks.","When checked, will skip the hammer swing animation to place blocks."
When enabled displays deed overlay when placing objects within,When enabled displays deed overlay when placing objects within
World Host,World Host
Crafted at:,Crafted at:
<u>'The Ocean Cleanup'</u> Charity,<u>'The Ocean Cleanup'</u> Charity
Skip building animations,Skip building animations
"When checked, will skip the hammer swing animation to place/pickup blocks.","When checked, will skip the hammer swing animation to place/pickup blocks."
Eco Credits will be converted to dollar value based on sale price and donations made quarterly,Eco Credits will be converted to dollar value based on sale price and donations made quarterly
"With Eco Credits, purchaseable on Steam, you will be able to buy recipes unlocking cosmetic variants of various objects in the game","With Eco Credits, purchaseable on Steam, you will be able to buy recipes unlocking cosmetic variants of various objects in the game"
"Show Your Support For Eco, the Eco-Ecosystem and the actual Ecosystem","Show Your Support For Eco, the Eco-Ecosystem and the actual Ecosystem"
"For every Eco Credit spent, we share with all the value providers in the ecosystem","For every Eco Credit spent, we share with all the value providers in the ecosystem"
Drag paint here,Drag paint here
Marketplace,Marketplace
Settlements where Citizen is a member (coming soon),Settlements where Citizen is a member (coming soon)
Buy Credits,Buy Credits
Return to Shop,Return to Shop
Supporting Streamers \n(coming soon),Supporting Streamers \n(coming soon)
Modders with mods used in world (coming soon),Modders with mods used in world (coming soon)
Advanced search,Advanced search
Enables sorting and custom lists,Enables sorting and custom lists
Resets Colorans selection to start over,Resets Colorans selection to start over
Mix,Mix
Mix currently selected colorants into a bucket of paint,Mix currently selected colorants into a bucket of paint
Skip warning when placing on unowned land,Skip warning when placing on unowned land
Display deeds on placement,Display deeds on placement
Advanced building enabled,Advanced building enabled
Show 'owned' only,Show 'owned' only
Add Credits,Add Credits
Already own:,Already own:
Select Category,Επιλογή Κατηγορίας
Purchase Blueprint,Purchase Blueprint
Wallet,Wallet
Use this form to report servers breaking the Strange Loop terms of service.,Use this form to report servers breaking the Strange Loop terms of service.
Report Server,Report Server
Create a new custom list,Create a new custom list
Creates a new custom list that you can add different recipes to for more convenient filtering.,Creates a new custom list that you can add different recipes to for more convenient filtering.
Delete a custom list,Delete a custom list
Save to palette,Save to palette
"Saves current mix recipe to pallete, so it can be easily loaded later. \nTo remove item from palette - press it with right click.","Saves current mix recipe to pallete, so it can be easily loaded later. \nTo remove item from palette - press it with right click."
Sale,Sale
Server is circumventing premium item purchases (bannable offense).,Server is circumventing premium item purchases (bannable offense).
ServerID:,ServerID:
View Terms of Service,View Terms of Service
Submit Report\n,Submit Report\n
Search Here...,Search Here...
Repair Materials:,Repair Materials:
Item to Repair,Item to Repair
"Owned: 5, Built: 5","Owned: 5, Built: 5"
Add to a custom list,Add to a custom list
Adds this recipe to a chosen custom list for more convenient filtering.,Adds this recipe to a chosen custom list for more convenient filtering.
Consolidate content from the  inventory to take up the least possible inventory space and sort it,Consolidate content from the  inventory to take up the least possible inventory space and sort it
Variants\n,Variants\n
Source paint buckets will be automatically consumed on mix and added to your inventory,Source paint buckets will be automatically consumed on mix and added to your inventory
Mix paint with white paint buckets and pigments\n\nNumbers under pigments show used/available amounts\n\nPigments and paint buckets consumed from storage tab and user inventory\n,Mix paint with white paint buckets and pigments\n\nNumbers under pigments show used/available amounts\n\nPigments and paint buckets consumed from storage tab and user inventory\n
Consolidate content from all inventories to take up the least possible inventory space and sort it,Consolidate content from all inventories to take up the least possible inventory space and sort it
Amount\n,Amount\n
You can add or remove pigments with \n,You can add or remove pigments with \n
Consolidate content from the inventory to take up the least possible inventory space and sort it,Consolidate content from the inventory to take up the least possible inventory space and sort it
"Percent chance of a new weather system forming, tested every minute.","Percent chance of a new weather system forming, tested every minute."
