English,Portuguese
A small celebratory piece of nylon fabric used to brighten up an event.,
A small celebratory piece of cotton fabric used to brighten up an event.,
The world will never be the same.,
"A modern plastic navigational buoy, can also be used as a moorage post.",
A bigger more suitable place to build larger vessels with more extensive functionalities.,
A large paper lantern.,
A larger celebratory piece of nylon fabric used to brighten up an event.,
A large festive paper lantern.,
A larger celebratory piece of cotton fabric used to brighten up an event.,
A banner made out of fabric held up by ropes held up between wooden pillars.,
An illuminated large steel sign.,
A large illuminated banner mounted on a steel frame portal.,
A very large iron sign.,
A very large iron banner placed between two iron pillars.,
A banner made out of fabric held up by ropes and some pieces of wood.,
A simple display of today's catch.,
Somewhere a ship is no longer going straight.,
"It has retired from its previously life-critical role, but great for nautical decor.",
"Previously a critical part of a fisher's life, now a simple decorative piece of glass encased in a net.",
The ship this anchor belonged to no longer needed it.,
You are too hungry to drive {0}!,
A personal transport vessel capable of holding a suprising amount of goods.,
When you want to save the world but in a frame.,
A modern piece of marvel that allows a more detailed way of saving landscape.,
Shipwrights uses the fundamental practical application of carpenters and applying it to maritime usage.,
Minable,
Pickupable,
Weave Small Cotton Bunting Vibrant,
Weave Small Cotton Bunting Regal,
Weave Small Cotton Bunting Red,
Weave Small Cotton Bunting Festive,
Weave Large Cotton Bunting Vibrant,
Weave Large Cotton Bunting Regal,
Weave Large Cotton Bunting Red,
Weave Large Cotton Bunting Festive,
Recycle Hewn Log,
Particle Boards,
Basic Upgrade that greatly increases efficiency when crafting Shipwright recipes.,
Advanced Upgrade that greatly increases efficiency when crafting Shipwright recipes.,
Reapable,
Under Water,
Diggable,
"If you dont have one of these, you have no control over your heading.",
An important piece of equipment used to give smaller wooden ships momentum.,
The backbone of any wooden ships.,
Basic wooden boards specially made for ships.,
The basis for any wooden personal vessel.,
A strong synthetic rope used to make sure a ship does not drift away.,
The backbone of any metal ship.,
A medium wooden frame for constructing a larger naval vessel.,
A medium metal frame for constructing a naval vessel.,
A large wooden frame for constructing a larger naval vessel.,
A large metal frame for constructing a larger naval vessel.,
Thin iron plates for use in various crafting recipes.,
A solid iron anchor used to park your vessel.,
Strong ropes used to hold down and prevent ships from moving around.,
"Used to claim, unclaim and examine property.",
Pending Description,
Docks Ramps Corner,
Docks Ramps,
Docks Ramp D,
Docks Ramp C,
Docks Ramp B,
Dock Ramp A,
Docks Platforms,
Docks Platforms with support,
Docks Pillar Beam Junction,
Docks Pillar Beam End Cap Alternate,
Docks Pillar Beam End Cap,
Docks Pillar Beams,
DocksPillar,
Docks Rope Fence T Intersection,
Docks Rope Fence Solo Block,
Docks Rope Fence Middle Section,
Docks Rope Fence Intersection,
Docks Rope Fence End Cap,
Docks Rope Fence Corner,
Docks Support Column,
Docks Barrel Platform,
"A large, carnivorous canid with a distinctive howl, found in a variety of habitats around the world. They are a keystone species in many ecosystems, and are known for their social behavior and cooperative hunting strategies.",
"A large bird with distinctive plumage and a fleshy wattle on its neck, which can change color based on its mood. Turkeys are highly social and known for their impressive vocalizations, including the famous gobble.",
"A large, hairy spider with a distinctive body shape and a venomous bite. Tarantulas are nocturnal and often spend the day hiding in burrows or other sheltered locations.",
"A freshwater turtle with a distinctive hooked beak and powerful jaws, known for their aggressive behavior and ability to live in a wide range of aquatic habitats.",
"A highly social rodent that lives in extensive underground burrows, with multiple entrances and tunnels. They use a distinctive bark-like call to communicate with other members of their colony, including to alert them of potential predators.",
"A playful and agile semi-aquatic mammal, often seen floating on their backs or playing with objects in the water. Otters have a thick, waterproof fur coat that keeps them warm in cold water, and webbed feet that make them excellent swimmers.",
"A wild goat species with shaggy white fur and curved horns, adapted to live in steep, rocky terrain. Their cloven hooves provide excellent traction and their white coat helps them blend in with their snowy surroundings.",
"A large wild cat with distinctive black spots and a muscular build, often found in dense rainforests. Jaguars are apex predators and have no natural enemies, although they can be threatened by habitat loss and poaching.",
"A fast and agile mammal, characterized by its long ears and powerful hind legs. Hares are generally larger and faster than rabbits, and they typically have a more solitary lifestyle.",
"A small and agile canid with a reddish-orange fur coat and a bushy tail. Foxes are known for their intelligence and problem-solving skills, and have been observed using tools and displaying advanced problem-solving abilities in the wild.",
"A majestic deer species found in forests and grasslands, characterized by its large antlers and brownish-gray coat. Male elk, also called bulls, grow and shed their antlers annually, which can reach up to 1.2 meters (4 feet) in length.",
"A graceful, herbivorous mammal with a reddish-brown coat that inhabits forests and fields. Deer have evolved a variety of adaptations to avoid predators, such as their excellent sense of hearing, smell, and vision, as well as their ability to run fast and jump high.",
"A crustacean with a hard exoskeleton and two large pincers used for defense, feeding, and courtship displays. Crabs are omnivores and feed on a variety of foods, including algae, other invertebrates, and carrion.",
"A clever and adaptable canid with a bushy tail and distinctive howling and yipping vocalizations. Known for their scavenging and hunting abilities, coyotes can be found in many different habitats.",
"A massive, shaggy mammal with a large head, humped shoulders, and distinctive curved horns. Often seen grazing on grasslands and prairies, bison are an important example of a species that has made a remarkable comeback from the brink of extinction due to conservation efforts.",
"These wild ungulates are known for their distinctive curved horns, which are used for dominance battles and display during the mating season. They are well adapted to harsh environments and are found in both mountainous and desert regions.",
"A large, scaly reptile with a powerful bite and a long tail, commonly found near rivers, swamps, and lakes in warm regions. Alligators are ancient creatures that have remained virtually unchanged for millions of years.",
"A small brownish rodent with sharp incisors that help them crack open hard seeds and fruits, allowing them to play an important role in seed dispersal.",
Citizens with this specialty:,
You have this specialty,
You don't have the required level of specialty,
You don't have this specialty,
No settlement has been founded here yet.,
Currently set to claim plots for {0}.,
Right-click to change assigned deed.,
Claims {0}.,
Creator:,
Influencing Settlement:,
Homestead Of:,
{0} out of {1} {2},
Influence for {0},
sq m,
Plots claimed:,
Host Object:,
Center Point:,
Debug Options:,
This {0} is in draft form.  It will not cast influence until it is founded.,
None ({0} is not yet founded).,
Make Self Occupant,
Remove All Occupants,
Treasury:,
Culture Including Children:,
Influence Sources:,
Settlement {0} Requirements,
Must contain at least {0} member {1} (currently has {2}).,
{0} across all member {1},
Must have at least {0} {1} (currently has {2}).,
{0} must be greater than {1} (currently {2}).,
Maintainence,
Culture from all member settlements,
Rooms:,
"As a Cultural Property, the {0} points from each room will increase the influence radius of the owning Settlement ({1}).",
Applying min culture for {0} foundation: {1},
"{0} {1} on ""{2}",
Self-Transfer Tax,
Transfer Tax,
Player Opinions:,
Reputation Title:,
Base Reputation:,
Network Multiplier:,
Reputation (with Network Multiplier):,
Relative Reputation:,
Winner is {0}.,
Winners are {0}.,
Election expired without enough voters to yield a valid result ({0} voted but {1} needed).,
Election will not yield a result unless {0} of eligible voters cast a vote ({1} have voted so far).,
"Election would end early because at least {0} of voters have voted, but results are currently tied.",
Election ended early because more than {0} of voters have voted.,
Individual votes are anonymous and not avaialble.,
Not started.,
More winners allowed than there were candidates. Everyone wins!,
Blocking early-ending of election,
View All Votes,Ver todos os votos
{0} Speech,
Only admins may start polls not assigned to a settlement.,
Must be a citizen of {0} to use {1}.,
{0} started: '{1}',
Poll winner: {0},
Start poll: '{0}',
Poll question: '{0}',
Poll started: {0},
Poll failed to produce a result.,
Create Poll,
Error Reporting,
Taxes paid by customers:,
{0} sales tax ({1}): {2},
This store supports barters only (the sell cost must must be equal or more than the buy cost).,
{0} is undiscovered.\n\nCraft {1} {2} at a {3} to discover it.,
of {0},
Place Claim Stake,
No deed assigned to Claim Tool,
You are not an owner of {0},
You may claim plots connected to the foundation of {0} while it's in draft form.,
Right-Click claim tool to change deeds.,
Right-Click item to choose Deed to claim on.,
Right-Click item to choose a different deed to claim on.,
Pending Pickup,
Connection complete.,
This {0} will take effect only under the influence of the selected settlement:,
"No settlements influence this location, disabled.",
Must assign a settlement before this can be used.,
"{0} does not influence this position, disabled.",
There is only one settlement influencing this location so this cannot be changed.,
Camera closed. You moved too far from the Tripod Camera,
Take all items,
Copy,
Cannot place here: You are a citizen of {0} and thus must place your Homestead within it's influence.,
"This unclaimed plot is under the influence of the {0}, of which you are a citizen.",
Cannot claim here: This plot is influenced by {0} but you are a citizen of {1}.,
Cannot place here: Your Homestead must be no more than {0}m away from the foundation of the {1} you are a citizen of.,
"This plot is within {0}m of the unfounded {1} (of which you are a citizen), so you may place your homestead here.",
"Cannot place here: This plot is under the influence of the {0}, and you are not a citizen.",
Cannot place here: This plot is already claimed on {0}.,
This plot is already a part of the {0}.,
This plot is already claimed on {0}.,
This plot cannot be claimed: it belongs to {0}.,
This plot is already part of {0},
This plot is {2}m away from foundation of {3} at {4}.,
"To claim here, you must first become a citizen at the {1} foundation at {2}.",
Avatar Observation Toggle,
Perspective Zoom,
Boat Fishnet Down/Up,
"When automatic eye blinks are disabled, this sets the threshold for how closed the eyes have to be to be registered as fully closed. At 0 the eyes will never fully close.",
"When automatic eye blinks are disabled, this sets the threshold for how open the eyes have to be to be registered as fully open. At 1 the eyes will never fully open.",
This is the zero point of the eyebrow value. It can be used to offset the eyebrow tracking value.,
"This is the sensitivity of the eyebrow tracking, with 0 meaning no eyebrow movement.",
"This is the sensitivity of the face expression detection, with 0 meaning face expression will never be detected.",
"When set to true, the head will slowly drift back to its neutral pose.",
This sets the strength of the drifting effect. At 0 there is no drifting.,
"This is the mouth tracking stabilization factor, with 0 being no stabilization and 1 being a fixed mouth.",
"This is the mouth tracking stabilization factor used for wide mouth expressions, with 0 being no stabilization and 1 being a fixed mouth.",
Eye closed threshold,
Eye opened threshold,
Eyebrows zero point,
Eyebrows sensitivity,
Expression detector sensitivity,
Head drift back enabled,
Head drift factor,
Mouth open threshold,
Mouth wide threshold,
Block type {0} can not be picked up with this tool,
Blast,
Culture to Influence ({0} settings),
Artwork Value,
Reputation after reducing {0} Citizen contributions by {1}: {2},
Base {0}: {1},
Artist's reputation:,
Picture's reputation:,
Resulting value:,
artist's,
picture's,
culture value,
"Since you're authorized, toll is not required.",
base,
on solid ground,
shaft,
on empty space,
Place Starter Camp,
This will also claim some of the surrounding plots if avaialble.,
artist,
Base,
Waterfront,
in water,
Shaft,
Samplable,
Tillable,
Failed to configure static content for web plugin {0}.,
Election not found.,
Cannot set more than {0} folders deep.,
Only players with specific Elected Title permission in a settlement can change its marker settings.,
You must have permission on an Elected Title for a given settlement in order to change markers to it.,
"Because you hold the title {0}, you are allowed to change {1} world markers.",
Currently in picture frame: {0}.,
{0}{1}Influence Radius,
{0}{1}Reputation,
Influence Radius,
Museum Deed,
Spawn a museum of images generating culture,
Member Settlements,
{0} has been ratified and {1} can be founded at any time!,
Requirements are met and this {0} can be founded after the constitution is ratified.  See 'Constitution' tab.,
Requirements are met and this {0} can be founded after ratification election '{1}' passes.,
"Requirements are not met, see status tab.  You must meet these requirements, then ratify a constitution, at which point the {0} can be founded.",
Click the button below to unveil the {0} foundation and found the {1}.,
Homestead Foundation,
It is a member of no settlement.,
This deed will automatically become a member of any settlement that {0} becomes a citizen of.,
"Can't claim here, settlement connected to this claim is missing.",
This homestead can only be placed by {0}.,
Can't place Homestead here.,
Each player can only have one Homestead and you have already placed yours.,
Homestead of {0},
{0}'s Deed,
"For every increase of different food types by {0}, your Variety Bonus gets 50% closer to {1}",
"For each additional {0} on the property, its value is diminished by {1}.",
Repeats in room yield {0} less value each.,
Will include a dynamic '{0}' component when placed.,
{0} gave {1} {2} reputation: {3},
Allowing self reputation rating because you're an admin in QAmode.,
Can't give yourself reputation.,
Can't give reputation to something you created.,
Only able to give {0} reputation until it replenishes for today.,
Review: {0},
{0} gave {1} reputation to {2}.{3},
{0} removed {1} reputation from {2}.{3},
No more reputation avaialble to give for today.,
{0} doesn't hold an elected title in {1} that permits access to treasury accounts.,
{0} Government Accounts:,
Contracts related to {0} have become invalid.,
That text has expired.,
"{0}... (text truncated, hover for more)",
{0} and more...,
The text with ID={0} is too long to display and will be truncated.,
{0} doesn't have access to the {1} account.,
Can't perform trade on disabled store.,
{0} {1} allowed to change the settlement of markers without permission.,
is now,
is now not,
{0} voted for {1} in {2}.,
No choices in that election.,
No voter available.,
Performs a variety of election operations.,
Make a new user and force a vote in the given election for the given index of the election choices.,
Create a bunch of test votes.,
Vote in the given election for the given candidate using the given twitch IDIChatClient Passing null will pick a random one.,
Generate a few elections and fill all elections with random votes.,
Create many twitch votes with random users.,
Create an active election of candidates that does nothing for testing purposes.,
Create an active boolean election that does nothing for testing purposes.,
{0} is no longer accepting new citizens.,
"{0} has joined the world for the first time, entering as a new citizen of {1}!",
Must supply user.,
User must be online.,
{0} statement:{1},
Start Near {0},
Initial Spawn Locations,
Default Location,
Server assigned position.,
Generate debug data showing all the clusters we consider for initial points.,
Advertisement should be at least {0} character of length (not countring spaces).,
Twitch {0} {1},
Twitch votes total {0} of all votes: capping their weight to yield {1} of total vote as per Election Process.,
Subscriber,
{0} {1} voted in {2} for {3},
New Twitch votes in {0}:,
Twitch Viewer {0},
{0}: {1} weighted {2},
"({0}, {1} Twitch Viewers)",
{0} You must be a citizen of {1}.,
{0} You must be a member of {1}.,
Your vote for '{0}' has already been counted.,
Your vote was changed to '{0}'.,
You voted for '{0}'.,
{0} complete. Winner: {1},
{0} complete. No winner.,
{0} has taken the position {1},
Election finished on {0}.,
{0} Voting Rounds:,
Votes for {0}:,
{0} anonymous votes not shown.,
Full Ranked Votes Per Citizen,
Ranked Votes of {0},
You cannot vote in this election.,
Provisions:,
Final Results:,
Current Vote Totals:,
Actions Taken On Completion:,
"After each round, the lowest candidate(s) are removed, and any citizens who voted for them have their votes set to their next highest preference.",
Twitch Votes,
Election for {0}. Currently {1}.,
{0} have been removed from this position.,
Votes in {0},
A new constitution {0} has been ratified in {1}!  The {2} can now be founded at any time.,
You cannot create or make changes here until a constitution exists or is proposed for ratification.,
Civic Powers not updated.,
"By article {0}, you may {1} (or start an election of type {2}).",
"By article {0}, you may {1}.",
"By article {0}, you may start an election of type {1} to {2}.",
Twitch Linking Poll Error: {0},
Used to simulate underwater effect.,
Enables sun rays effect.,
Used to simulate fog or mist in outdoor environments.,
Ambient occlusion ensures more realistic ambient lighting by calculating just how bright certain parts of the screen should be based on geometry.,
"Graphics effect used to make visuals look more realistic by adding a level of reflection to the surface, like in real life.",
Used to refract light when looking through glass.,
Water quality.,
Show FPS,
Display FPS count in a corner of the screen at all times.,
Performance Impact: Low,
Performance Impact: Average,
Performance Impact: High,
Failed to perform platform action ({0}) on platform: {1},
Boat,
Build {0} blocks,
Can't build here,
Not attached to the ground,
Blocked by {0},
"Text is too long, max length excluding tags cannot exceed {0} characters.",
Text is too long! Your new title {0} ({1}) exceedes max length of {2} characters.,
"For every +{0}, the resulting {1} will get {2} closer to {3}.",
"At current values, +{0} will yield +{1}",
{0} above,
"For every {0} increase in {1}, the resulting {2} will get 50% closer to the limit, {3}.",
An,
A,
Admin action,
Can't find species with name {0},
This command can be used only after world generation with no restarts of server.,
Twitcher {0},
You were invited to become a {0} by {1}.{2}You may accept at {3} at {4}.,
Your application to become a {0} was rejected.,
Select Citizens,
Citizens invited:,
Take the {0} from your tent and select it.,
Pick up the stone pieces by pressing {0}.,
Control your Camera,
Hold {0} to zoom.,
Press {0} and {1} to move.,
Press {0} to jump.,
Press {0} to toggle the mouse cursor.,
Open the construction menu by pressing and holding  {0}.,
Open Ecopedia by pressing the {0} key or by clicking the icon that is being pointed to.,
How to Start a Town,
Watch Towns introduction,
{0} has learned the specialty {1:skill name}!,
{0} per active/abandoned citizen: {1}/{2} ({3} spawned),
{0} Foundation Deed,
Anyone can approve new settlements since this one has no creator.,
"{0} is not a member, invited or applicant and cannot be removed.",
The {0} {1} has been removed as a member/invited/applicant of the {2} {3}.,
Select Member Settlements,
Contains member settlements:,
Member of the {0}.,
Not a member of any other Settlement.,
Global Settlement,
Must have {0} of plots under the influence of {1} in order to become a citizen (or no claimed plots at all).,
"You're already a citizen or the leader of {0}, to create a new settlement of the same type you need to leave that one first.",
Culture to Influence within {0}:,
Settings on Immigration Policies:,
"Spawned {0}, {1}, {2}.",
Spawned homestead for {0}.,
"This command is only made for testing which means it can lead to some weird results, are you sure you want that on your conscience ?",
This settlement doesn't have a foundation to spawn claim stakes in.,
This settlement doesn't have a foundation to spawn claim papers in.,
Your homestead wasn't placed yet.,
"Create a nested homestead, town, country, and federation with simple force-enabled objects.",
Create a homestead for the passed user or a test user if null.,
GetHomesteadBack,
"The selected settlement is a {0}, but it must be a lower tier than {1}.",
"The selected settlement is a {0}, but it must be a {1}.",
"To join a {0} before it's founded, your Homestead ({1}) must be either not placed, or placed within {2}m of the foundation ({3}), but is {4}m away.",
"You have {0} of your Homestead plots in the influence range of {1}, but you have {2}.",
Either move your Homestead plots closer or remove the homestead entirely to become a Citizen.,
{0} removed from {1} applicants because they joined the {2}.,
{0} removed from {1} invitation list because they joined the {2}.,
"Cannot join as citizen, Homestead too far.",
Note: Citizens of member settlements will automatically be Citizens as well but not listed here. This list is direct Citizens only.,
"If you can't access your homestead, you can pick it up remotely via /GetHomesteadBack.",
This list shows the sources that allow you to claim plots on this claim stake.,
Claim Papers: {0},
More plots can be claimed by selecting a {0}.,
Only claim papers may be placed here. Adding claim papers will increase the number of plots that can be claimed on this object,
Claim papers should be of {0} origin or any of its parent settlements.,
Claim papers can't be used with {0} because it isn't part of any settlement.,
Can't change assigned deed. You are not an owner on any deeds.,
Can't change assigned deed. You only have access to one deed and it's already assigned ({0}).,
Claim Tool assigned to {0}.,
Claiming here would reduce the percent of plots within influence range of {0} to {1}.,
Claim mode disabled because you don't own any deed.,
Allows adding or removing plots from any deeds you own.,
Choose Deed for Claim Tool,
This list shows deeds you own and can claim/unclaim plots for.,
Unclaim,
Source settlement must be founded.,
Annexations can be performed at an {0}.,
{0} was forced to become a citizen of {1}.,
Annexation Details.,
Must be in a room that has all its plots claimed.,
All plots under the room are claimed on a single deed,
Room invalid: Contains {0} objects that prevent housing objects from providing any house value.,
Room invalid: All plots under the room must be on a single deed.,
Vol: {0} Tier: {1},
Couldn't find claim tool in toolbar.,
Claim Tool unlimited claiming set to {0}.,
Property type can't be changed from Cultural because this deed is on a settlement foundation object ({0}).,
Only an owner may change property type.,
Can't remove plots that are under {0} which is the deed host object.,
"{0} listed {1} as a citizen, but {2} did not list that as its citizenship. Removing from {3} citizen list.",
"You wake up on the shore, feeling exhausted",
Can't seed {0} at {1}. It is too high to growth here.,
You can now attach the official {0} for the {1} {2} on this {3}.,
There is 1 orphaned {0} {1},
There are {0} orphaned {1} {2},
Cannot attach objects of different settlement origins to the same {0}.,
with no host.,
associated with settlements at this position {0}.,
{0} is placed {1}.,
"Can't be placed, no solid block found at max depth of {0}.",
Must be placed on water.,
"Component {0} has to explicitly define [HasIcon] or [NoIcon], because it's parent has [DerivedMustDefineIcon].",
{0} had 'Ignore Requirements' were set to {1}.,
No object with status component was found within 5 meter.,
"Object is force-enabled via admin, ignoring requirements.",
Can't interact with vehicle while navigating.,
Automatic restart at {0} (Reason: {1}),
User Maintenance Scheduled at {0} (Reason: {1}),
You've earned {0}.,
Contained {0}:,
this.Nitrogen,
this.Phosphorus,
this.Potassium,
Add to a Claim Stake to increase the number of plots you can claim on it.,
Too far to do that.,
{0} attempting interaction from too far.,
Add more claim papers to increase max.,
Can't build above the ocean.,
Can't build in the deep ocean.,
Taxes:,
Direct Transfer Tax:,
Direct Transfer Tax (self):,
Property Tax:,
Remove meteor impact hours,
There are no items to take.,
On Off,
Minted currency: {0} created {1}.,
Elevator,
Can't change associated settlement while there are active or proposed {0}.,
{0} does not have Settlement of Jurisdiction and can not be removed.,
Jurisdiction,
The assigned settlement {0} does not influence this position.,
The assigned settlement {0} influences this position.,
No settlement is assigned for jurisdiction.,
Export Icon List,
Failed to send message to Twitch EBS,
Copied to Clipboard.,
Hold F for more informtion,
"When using the Handheld camera a copy of the photos will be stored in your PC (folder my documents). You can change this value to limit the amount of photos stored, if you take more photos than the max number old photos will be replaced",
of name,
Subtitle,
Must have an Elected Title in a settlement to select or change this.,
Window Named sdsdsd,
Associated Settlement,
Camera settings:,
Recalibrate,
"Eventually, you can build towards combining multiple towns into a Country, the next higher level Settlement. \n\nRead more about Settlements System in the Ecopedia.",
"It will begin casting influence based on its culture levels, and anything under its influence will be affected by its laws.",
"\nBy default it makes all Town decisions decided via election, but can be changed however you like.",
"Once the Constitution passes election, press the 'Found Town' button to unveil your new town to the world.",
You will need to define your Town Constitution and start an election to have it ratified in order to found the town.\n,
"Congratulations! Now you have a Town Foundation, which means you can start a brand new Town Settlement by placing it inside a room.",
How to Start a New Town,
A new Town will start as a draft. In the Status Tab you can see what requirements should be met by a Town before it can be founded.,
"You can distribute these however you like, but keep in mind that if Citizens leave the town the claims can be cancelled.",
"As more citizens join a Town, it will generate additional claim stakes and claim papers.\r",
Folders,
Enable gaze tracking,
Start Facetracking,
Select camera tracking quality:,
Select camera:,
Select camera settings:,
Select camera frame rate:,
Limit locally saved photos. (remove oldest),
Give us Feedback,
Make suggestions and vote on improvements you want to see in the game.,
Foundation Status,
Game,Jogo
Max Number of photos stored in PC,
Admin Assign,
Cancel Application,
Structure\n,
This monument marks the beginning of a Town.\nIt is not yet founded.,
Found Town,
Show webcam image,
Citizens of a Town,
Facetracking status:,
Found,
Current Facetracking status:,
Culture Wars,
Show advanced settings,
Hide advanced settings,
Face advanced settings:,
Enable wink support,
Honk,
Fishnet Down/Up,
You need film to take photos,
You need to repair the camera to take photos,
Press to open the folder where\nphotos are stored,
Camera Film,
Test Object Culture,
removeallbut,
fixobjects,
"Destroys all physical objects with illegal positions outside the world. (worldobjects, vehicles, trees, rubbles etc)",
fixtrunks,
Destroys all trunks outside the world,
clearfallentrees,
Removes fallen trees,
Allow Option To Prevent Settlements From Seceding,
Enabling this will add a new check inside immigrations policies that will give the players the option to prevent any child settlement from seceding.,
Allow Foreign Property Ownership,
Property Heir When Citizens Leave,
Allow Child Settlements To Secede,
"Disallowing this would prevent citizens, titles and demographics that aren't part of this settlement from owning any property that's under it's influence sphere.",
The heir that will receive all the properties that were abandoned by the leaving citizen.,
"If this is unchecked, child settlements will not be allowed to secede or join another settlement that's not a child of this settlement.",
SpeciesLayeredCatchPlugin,
Catchers,
teleportVehicles,
Found: {0} objects with illegal position,
Destroyed {0}:ID:{1}:POS:{2},
Destroyed: {0} objects with illegal position,
Wasn't able to destroy: {0}.,
MJPEG (Slow),
Preparing facetracking,
Success!,
Failed...,
QA Test Object adding Culture value.,
A film used inside a camera.,
Downloading Mods (Wait a bit),
Plot already owned by {0}.,
Enables unrestricted avatar customization in game,
Annexations List,
Can't use this claim stake because {0} doesn't allow foreign ownership and you are not a citizen..,
Dressers only accept apparel items.,
Your deed {0} was transferred to {1} because the settlement that you're part of changed parents and {2} doesn't allow foreign ownership.,
You received {0} from {1} because you're the property heir of {2}.,
Would you like to grant ownership of these properties to {0} and leave this settlement?,
{0} isn't part of {1}.,
Cannot create child settlement inside {0} due to {1} : {2}.,
Cannot join settlement as citizen due to {0} : {1}.,
"{0} doesn't allow foreign property ownership, and you own {1} properties under its influence: {2}",
Species Catcher,
"Calibrating {0}.\r\nPlease move your face left/right, open/close mouth, open/close eyes, smile and make a sad face to calibrate",
You can map your expressions onto the avatar face using your webcam.\r\nTurn the feature on/off by clicking on the webcam icon.,
Calibration complete!\r\nYou can try it out and proceed with customizing your avatar,
Calibration failed.,
"Cannot start facetracking service, aborting...",
{0} isn't eligible anymore to be part of your settlement.,
"{0} doesn't allow child settlements to secede thus upon leaving {1}, {2} became a direct child of {3}.",
{0} doesn't allow foreign ownership thus you cannot claim land under its influence unless you're a citizen (and currently {1} accepting new citizens).,
{0} parent {1} is preventing it from joining other settlements that are out of its jurisdiction.,
{0} doesn't allow settlements to secede from it.,
You need to manually leave your current settlement {0} because you have some properties that are under its influence.,
"When your homestead is placed, you can only leave citizenship of a settlement when you're applying for another parent/child settlement.",
{0} only allow citizens to directly own properties inside its sphere of influence and {1} is not a citizen.,
{0} isn't part of {1} which doesn't allow foreigners to own land inside its sphere of influence.,
DoF,
Calibration in progress...,
Calibration finished,
Groups:,
Groups,
Create a sorting for this marker by naming its group. Add slashes in between names to create subgroups.,
Background Color,
Climb,
Flax Species,
Creosote Flower,
Flaxseed Oil,
Trillium Flower,
Art Supplies,
Colored Powder,
Nylon Trawler Net,
Oil Paint,
Gathering Basic Upgrade,
Industrial Generator,
Allow Deep Ocean Building,
Allows or prevents building in deep ocean biome.,
For Sale,
Sellers Account,
"The properties that their owners will be changed, which needs to be inside the current settlement.",
The citizens that will be receiving the money transfer.,
The deed that will be checked.,
Is Owner,
True if a given citizen is currently an owner on a given deed.,
Has Access,
True if a given citizen has access to a given deed.,
Deed At Location,
Get the deed that's at this location.,
Get a deed at a given location.,
Specific Property,
The deed that we want to interact with.,
A specific deed in the world.,
The citizen or group to invite to assign the property.,
The citizen will be invited to become a resident on the property at this location which must be within the influence of the current settlement.,
Action On Each Citizen In Settlement,
"The actions to run on each citizen inside this settlement, meeting the 'Citizen Conditions' set above.",
Seeds Layer,
Bad format.,
The parameter type {0} is not valid,
A large modern generator consuming liquid fuel to generate high volumes of electricity.,
An interactive stand allowing paintings to be created using art supplies.,
Weave Linen Fabric,
Weave Linen Canvas,
Weave Cotton Canvas,
Rice Mortar,
Cottonseed Oil,
Cotton Canvas,
Compost Spoiled Food,
Basic Upgrade that greatly increases efficiency when crafting Milling recipes.,
Basic Upgrade that greatly increases efficiency when crafting Gathering recipes.,
A collection of paint variations used for art supplies.,
A bag of crushed flower petals.,
"A canvas used for painting on, made by either cotton or linen.",
A set of art supplies that,
Placeholder Description.,
Petals,
An oil primarily used for woodworking and paint supplies but can surprisingly also be drizzled on a salad.,
Direct Influencing Settlement:,
Other Influencing settlements:,
{0} can't be taxed because they aren't citizens of {1}.,
{0} isn't a government account of {1} or held by any of its citizens.,
Ignored: {0} because they weren't influenced by {1}.,
"These deeds were ignored: {0}, they were already owned by {1}.",
"{0}, {1} changed to owner {2}",
"{0}, {1} changed to unowned.",
{0} is an owner of {1}.,
{0} has access to {1}.,
Location: {0}.,
Enable hands tracking,
The {0} {1} determines the cultural value of the artwork.,
Reputation from Citizens of foreign settlements counts more than from Citizens of {0},
"Note: No settlement applied at the moment, keep in mind that this culture will be reduced when placed in a settlement, with reputation from Citizens of that settlement counting {0} less.",
An artwork's {0} value is determined by its reputation and the artist's reputation.,
"Reputation from the settlement that the artwork is currently placed in is reduced by {0}.  Thus, foriegn opinion matters more for culture value, and trading artwork can yield net positive culture to two settlements.",
Artist ({0}):,
Picture:,
Artwork Value in {0},
Artwork Value Before Settlement Placement,
{0} by {1} (current value: {2}),
{0}.{1} is wrong signature for interaction.,
"For each additional object on the property with the same {0}, its value is diminished by {1}.",
"No other object with this {0} is on the property, so no penalty was applied.",
Penalty for {0} objects with the same {1}: {2},
Select bank account to pay from.,
Choose bank account to pay from.,
{0} must be a citizen of {1} which does not allow foreign ownership.,
{0} must be part of {1} which does not allow foreign ownership.,
{0} must be within the influence of {1}.,
{0} generating culture:,
"NOTE: The max number of cultural properties in a {0} is {1}, and the following properties were ignored:",
"With {0} surrounded, {1} of {2}'s total Culture ({3}) counts toward annexation.",
Attempt interact on missing component type {0}.,
Attempt interact on missing method {0}.{1}.,
This object is not for sale.,
This object is currently for sale.,
Currency must be set before object can be purchased.,
Seller's account must be set before object can be purchased.,
You're already an owner on this object can can just take it. Are you sure you want to purchase it?,
Buy this for {0}?,
TODO: add title,
TODO: add description,
Artwork has different culture values in different settlements.,
Show culture yield when placed in Settlement:,
Delicious decomposed organic matter that can be used to fertilze crops. Compost is created overtime when organic material is left outdoors to decompose. This is accomplished in Eco by dropping an organic item on the ground and overtime it will become Compost.,
DOES CHEATER THINGS THROUGH CHEATING POWERS!,
Increases the crafting speed of identical tables when they share a room by 20 percent.,
Increases the damage of related tools by 1.,
A combustible mineral which needs to be crushed into usable fuel.,
Coal that have been crushed into a usable size.,
A fluffy round boll harvested from a cotton plant.,
