,"If a player enters the 'Abandoned' demographic, they will instead make this many claims available to Settlements they're a citizen of.",
,Claim stakes made available on the settlement marker at each level of settlement. Defined per settlement type.,
,"If a player enters the 'Abandoned' demographic, they will instead make this many stakes available to Settlements they're a citizen of.",
,"The number of plots that a claim stake allows you to claim by default, specified by settlement type. Defined per settlement type.",
,"The number of plots that a settlement foundation allows you to claim by default, specified by settlement type. Defined per settlement type.",
,The number of plots that a homestead claim stake allows you to claim by default.,
,"If there are not enough citizens to support the claimed plots, a property crisis will happen after this amount of time. Defined per settlement type.",
,"Names of the settlement types, 0 is the lowest level settlement.",
,The homestead claim stake of someone attempting to become a citizen of a town that has not yet been founded must either be 1) not placed or 2) within this range.,
,Minimum required ratio of homestead plots covered by settlement's influence to be able to join.,
,"Determines how many subsettlements must be members of a settlement before it can be founded (first entry is ignored, since Homestead cant have sub-settlements). Defined per settlement type.",
,"Determines how many subsettlements must be members of a settlement or else it goes invalid (first entry is ignored, since Homestead cant have sub-settlements). Defined per settlement type.",
,Number of citizens that must be part of a roster before a settlement can be founded. Defined per settlement type.,
,Number of citizens that must be part of a roster in order for a settlement to continue. Defined per settlement type.,
,"Sum of culture from all children settlements required to form a new one. Defined per settlement type, starting with country.",
,"Sum of culture from all children settlements required to continue a parent settlement. Defined per settlement type, starting with country."")].",
,Minimum culture values of the foundation deed. Defined per settlement type.,
,Max number of cultural properties per settlement type. Defined per settlement type.,
,"If settlement A is a parent type of Settlement B, a requirement of annexing Settlement B is that its culture power is this percent higher than it. Defined per settlement type.",
,"If settlement A is a parent type of Settlement B, a requirement of annexing Settlement B is that its culture power is this much higher than it. Defined per settlement type.",
,"If settlement A is the same type as Settlement B, a requirement of annexing Settlement B is that its culture power is this percent higher than it. Defined per settlement type.",
,"If settlement A is the same type as Settlement B, a requirement of annexing Settlement B is that its culture power is this much higher than it. Defined per settlement type.",
,"If settlement A is a parent type of Settlement B, its cultural ranking is weighted by what percent of plots bordering A are claimed by B.",
,"Same as above param, but for sibling type settlements (ie, town annexing another town).",
,Influence Color,
,Place this to begin claiming property onto a deed.,
,Claim Stake,
,"Starts a homestead for a given citizen. Each citizen can have a single homestead, allowing them to claim property in an area.",
,Place New Settlement,
,The type of new settlement being created.,
,A citizen started a new settlement within the influence of another.,
,A citizen started a new homestead settlement within the influence of another.,
Help text for chat command /unlimitedclaim,Toggles first found Claim Tool in your toolbar to claim without needing the usually required claim papers on the corresponding Claim Stake. Lasts until server restart.,
,A list of citizens and demographics that may join as residents. Only the owner of the property can set this list.,
,Swim Speed,Швидкість плавання
,Calorie Consumption Rate,
,Player Can Drown When Swimming,
,Multiplier applied to Player's swim speed when in a specific biome.,
,"Multiplier applied to Player's calorie consumption when in a specific biome. (this is a percentage multiplier, meaning 10 = 10x = 1000%)",
,"If this is enabled, player will be teleported to nearest land once calories run out while swimming.",
Chat command,forceenablenearestobject,
Chat command shortcut,forceenable,
Help text for chat command /forceenablenearestobject,Force nearest object to ignore all its requirements and always be enabled.,
,Specifies what hour of the day automatic shutdown should occur. This is best paired with systems that automatically restart the server.,
,Claim Paper,
,"When there are duplicates in multiple rooms, each subsequent one will be reduced by this percent.",
,Max Rep From One Person,
,Min Rep From One Person,
,Review Size Limit,
,Max Givable Rep,
,Max size a review can be,
,"Max amount of reputation, either positive or negative, that can be given in a 24 hour period.",
,Picture Slot,
,Enlarge To Fill,
,Allows the display of a picture created by a Citizen.,
,Settlement Of Jurisdiction,
,The settlement that civic objects will be attached to.,
,Twitch Subscriber Vote Weight,
,Twitch Non Subscriber Vote Weight,
,When using the Eco Twitch Plugin to allow your audience to participate in elections: The percent value a vote from a Twitch subscriber counts relative to vote from a player.,
,When using the Eco Twitch Plugin to allow your audience to participate in elections: The percent value a vote from a Twitch viewer (who does not subscribe) counts relative to vote from a player.,
,When using the Eco Twitch Plugin to allow your audience to participate in elections: The maximum percent contribution all combined Twitch voters can have in election.,
,Can Set Settlement Markers,
,Can holders of this position set world markers that will be seen by all citizens in this settlement?,
Chat command,giveglobalmarkerrights,
Help text for chat command /giveglobalmarkerrights,Allow the given user to change all world marker settlement types without permissions.,
,"Change the reputation for a user, given from the creator of the law.",
Chat command,finish,
Chat command,fail,
Help text for chat command /fail,Cast a negative vote and end an election. Null election means find first.,
Help text for chat command /vote,"Vote in the given election for the given candidate. If null is passed for election, take first. Null for candidate, pick a random ordering. Null for voter, use self.",
Chat command,win,
Chat command,veto,
Chat command,clearold,
Chat command,forcerecalc,
Chat command shortcut,recalcelec,
Help text for chat command /forcerecalc,Force recalculation of all elections.,
Chat command,createpoll,
Chat command shortcut,poll,
Help text for chat command /createpoll,Open a dialog that allow starting a poll.,
,Allow Brand New People To Instantly Join,
,Requirements For New Child Settlement,
,"Set if Citizens can submit an application for settlement citizenship. If set to 'NO', citizenship can only be obtained through invitation.",
,"If new Citizens are allowed, settlement requirements must be met in order to apply. However, if 'Allow New People To Instantly Join' is enabled, Citizens who just entered this world for the first time may join immediately.",
,"These are Citizens with the power to approve citizenship applications. If vacant, applications are automatically approved.",
,"Citizens who do not meet ongoing requirements will be given time to work on meeting them. If they still fail to meet the requirements after the given time has expired, their citizenship will be revoked.",
,"A feature that will either allow or prevent brand new Citizens to spawn within your settlement. If allowed, Citizens will also become Citizen of the settlement they spawn in instantly.",
,A feature that will either allow or prevent Citizens from starting a new children settlements within your settlement.,
,"If your town is open for new Citizens, brand new Citizens will be able to view this on map as they select their initial spawn point. This will be the perfect opportunity to invite new Citizens into your Settlement. Tell a brief description of your town, how you run it, and why it would be a good place to join.",
Chat command,do,
Help text for chat command /do,Re-run the initial spawn selection for the given user (or current user if null).,
,Pioneers,
,Farmlands,
,Wild Food,
,Forest,Ліс
,Pioneers living on homesteads that are not yet part of a town.,
,Minerals for mining.,
,Plains for farming.,
,Wild food for foraging.,
,Access to forests for logging.,
,Debug Election,
,Block Early End,
,Set to true to make it not care about: no actions on completion,
,"When set, election will not end early",
,Poll Option,
,Election Title,
,Poll Question,
,Poll Options,
,Process To Use,
,The election process that conducts the poll.  Leaving blank will set it as 'Basic Election'.,
,"If set, dont allow early completion when enough people have voted.",
,"Start a poll, which does not have any world effects but can be used for making decisions as a group.",
,Start Poll,Почати опитування
,"A citizen-defined group of people, determined by a set of rules.",
Parameter for chat command /givereputation,ignoreLimit,
Parameter for chat command /givereputation,sourceUser,
Parameter for chat command /spawnboat,boatName,
Parameter for chat command /road,flatRoad,
Parameter for chat command /edit,objectType,
Parameter for multiple chat commands,quantity,
Parameter for chat command /vote,voteForCandidate,
Parameter for chat command /vote,voter,
,Cam Position Switch,
,Zoom,
,Vehicle Honk,
,Vehicle Lights,
,Vehicle Fishing,
,Boat Net Down Up,
,Ramp is blocked,
,Delete {0}?,
,Select Type To Edit,
,{0} reputation given to {1}.,
,Reputation replenished.,
,Needs user passed in.,
,Display Group: {0},
,A part of {0}.,
,Not a part of any settlement.,
,{0} to {1} 1,
,{0} to {1} 5,
,{0} to {1} 10,
,{0} to {1} max,
,Split item stack.,
,Move all items in inventory.,Перемістити всі предмети в інвентар.
,Move all items to the target inventory.,
,Move half a stack.,
,Move one item.,Перемістити один предмет.
,Move the current item to the target inventory.,
,"Oops, no entry for controls found.",
,Welcome to {0},
,Click and drag the globe to choose initial spawn location,
,ECO,
,Min: {0}%,
,{0} Votes cast out of a total {1},
,No candidates currently.,
,Last Round Results:,
,You voted: {0},
,Other candidates,
,Save facetracking changes and restart,
,Start facetraking,
,Choose your camera,
,Highest quality with wink support,
,Highest quality,Найвища якість
,High quality,Висока якість
,Low quality,Низька якість
,Poor quality,
,Bad quality,
,Worst quality,Найгірша якість
,"A slow-moving land-dwelling reptile with a hard, domed shell that provides protection from predators. Tortoises are herbivorous and have a long lifespan, with some individuals living up to 150 years or more.",
,"A citizen may grant reputation to others with a limit of {0} points (positive or negative) per day, up to total of {1}.",
,Reputation titles for users,
,Reputation titles for other objects,
,Usable,
,A large metal rack allowing larger volume storage.,
,"A steel navigational buoy, can also be used as a moorage post.",
,A crude workspace for constructing smaller vehicles designed for use in a maritime environment.,
,Laborous way of creating sheets of paper.,
,A small paper lantern.,Малий паперовий ліхтар.
,A small celebratory piece of nylon fabric used to brighten up an event.,
,A small celebratory piece of cotton fabric used to brighten up an event.,
,The world will never be the same.,
,"A modern plastic navigational buoy, can also be used as a moorage post.",
,A bigger more suitable place to build larger vessels with more extensive functionalities.,
,A large paper lantern.,Великий паперовий ліхтар.
,A larger celebratory piece of nylon fabric used to brighten up an event.,
,A large festive paper lantern.,
,A larger celebratory piece of cotton fabric used to brighten up an event.,
,A banner made out of fabric held up by ropes held up between wooden pillars.,
,An illuminated large steel sign.,
,A large illuminated banner mounted on a steel frame portal.,
,A very large iron sign.,Дуже великий залізний знак.
,A very large iron banner placed between two iron pillars. ,
,A banner made out of fabric held up by ropes and some pieces of wood.,
,A simple display of today's catch.,
,Somewhere a ship is no longer going straight.,
,"It has retired from its previously life-critical role, but great for nautical decor.",
,"Previously a critical part of a fisher's life, now a simple decorative piece of glass encased in a net.",
,The ship this anchor belonged to no longer needed it.,
,You are too hungry to drive {0}!,
,A personal transport vessel capable of holding a suprising amount of goods.,
,When you want to save the world but in a frame.,
,A modern piece of marvel that allows a more detailed way of saving landscape.,
,Shipwrights uses the fundamental practical application of carpenters and applying it to maritime usage.,
,Minable,
,Pickupable,
,Weave Small Cotton Bunting Vibrant,
,Weave Small Cotton Bunting Regal,
,Weave Small Cotton Bunting Red,
,Weave Small Cotton Bunting Festive,
,Weave Large Cotton Bunting Vibrant,
,Weave Large Cotton Bunting Regal,
,Weave Large Cotton Bunting Red,
,Weave Large Cotton Bunting Festive,
,Recycle Hewn Log,
,Particle Boards,
,Basic Upgrade that greatly increases efficiency when crafting Shipwright recipes.,
,Advanced Upgrade that greatly increases efficiency when crafting Shipwright recipes.,
,Reapable,
,Under Water,Під водою
,Diggable,
,"If you dont have one of these, you have no control over your heading.",
,An important piece of equipment used to give smaller wooden ships momentum.,
,The backbone of any wooden ships.,
,Basic wooden boards specially made for ships.,
,The basis for any wooden personal vessel.,
,A strong synthetic rope used to make sure a ship does not drift away.,
,The backbone of any metal ship.,
,A medium wooden frame for constructing a larger naval vessel.,
,A medium metal frame for constructing a naval vessel.,
,A large wooden frame for constructing a larger naval vessel.,
,A large metal frame for constructing a larger naval vessel.,
,Thin iron plates for use in various crafting recipes.,
,A solid iron anchor used to park your vessel.,
,Strong ropes used to hold down and prevent ships from moving around.,
,"Used to claim, unclaim and examine property.",
,Pending Description,
,Docks Ramps Corner,
,Docks Ramps,
,Docks Ramp D,
,Docks Ramp C,
,Docks Ramp B,
,Dock Ramp A,
,Docks Platforms,
,Docks Platforms with support,
,Docks Pillar Beam Junction,
,Docks Pillar Beam End Cap Alternate,
,Docks Pillar Beam End Cap,
,Docks Pillar Beams,
,DocksPillar,
,Docks Rope Fence T Intersection,
,Docks Rope Fence Solo Block,
,Docks Rope Fence Middle Section,
,Docks Rope Fence Intersection,
,Docks Rope Fence End Cap,
,Docks Rope Fence Corner,
,Docks Support Column,
,Docks Barrel Platform,
,"A large, carnivorous canid with a distinctive howl, found in a variety of habitats around the world. They are a keystone species in many ecosystems, and are known for their social behavior and cooperative hunting strategies.",
,"A large bird with distinctive plumage and a fleshy wattle on its neck, which can change color based on its mood. Turkeys are highly social and known for their impressive vocalizations, including the famous gobble.",
,"A large, hairy spider with a distinctive body shape and a venomous bite. Tarantulas are nocturnal and often spend the day hiding in burrows or other sheltered locations.",
,"A freshwater turtle with a distinctive hooked beak and powerful jaws, known for their aggressive behavior and ability to live in a wide range of aquatic habitats.",
,"A highly social rodent that lives in extensive underground burrows, with multiple entrances and tunnels. They use a distinctive bark-like call to communicate with other members of their colony, including to alert them of potential predators.",
,"A playful and agile semi-aquatic mammal, often seen floating on their backs or playing with objects in the water. Otters have a thick, waterproof fur coat that keeps them warm in cold water, and webbed feet that make them excellent swimmers.",
,"A wild goat species with shaggy white fur and curved horns, adapted to live in steep, rocky terrain. Their cloven hooves provide excellent traction and their white coat helps them blend in with their snowy surroundings.",
,"A large wild cat with distinctive black spots and a muscular build, often found in dense rainforests. Jaguars are apex predators and have no natural enemies, although they can be threatened by habitat loss and poaching.",
,"A fast and agile mammal, characterized by its long ears and powerful hind legs. Hares are generally larger and faster than rabbits, and they typically have a more solitary lifestyle.",
,"A small and agile canid with a reddish-orange fur coat and a bushy tail. Foxes are known for their intelligence and problem-solving skills, and have been observed using tools and displaying advanced problem-solving abilities in the wild.",
,"A majestic deer species found in forests and grasslands, characterized by its large antlers and brownish-gray coat. Male elk, also called bulls, grow and shed their antlers annually, which can reach up to 1.2 meters (4 feet) in length.",
,"A graceful, herbivorous mammal with a reddish-brown coat that inhabits forests and fields. Deer have evolved a variety of adaptations to avoid predators, such as their excellent sense of hearing, smell, and vision, as well as their ability to run fast and jump high.",
,"A crustacean with a hard exoskeleton and two large pincers used for defense, feeding, and courtship displays. Crabs are omnivores and feed on a variety of foods, including algae, other invertebrates, and carrion.",
,"A clever and adaptable canid with a bushy tail and distinctive howling and yipping vocalizations. Known for their scavenging and hunting abilities, coyotes can be found in many different habitats.",
,"A massive, shaggy mammal with a large head, humped shoulders, and distinctive curved horns. Often seen grazing on grasslands and prairies, bison are an important example of a species that has made a remarkable comeback from the brink of extinction due to conservation efforts.",
,"These wild ungulates are known for their distinctive curved horns, which are used for dominance battles and display during the mating season. They are well adapted to harsh environments and are found in both mountainous and desert regions.",
,"A large, scaly reptile with a powerful bite and a long tail, commonly found near rivers, swamps, and lakes in warm regions. Alligators are ancient creatures that have remained virtually unchanged for millions of years.",
,"A small brownish rodent with sharp incisors that help them crack open hard seeds and fruits, allowing them to play an important role in seed dispersal.",
,Citizens with this specialty:,Громадяни з цією спеціальністю:
,You have this specialty,У вас є ця спеціальність
,You don't have the required level of specialty,
,You don't have this specialty,У вас немає цієї спеціальності
,No settlement has been founded here yet.,
,Currently set to claim plots for {0}.,
,Right-click to change assigned deed.,
,Claims {0}.,
,Creator:,
,Influencing Settlement:,
,Homestead Of:,
,{0} out of {1} {2},
,Influence for {0},
,sq m,
,Plots claimed:,
,Host Object:,
,Center Point:,
,Debug Options:,
,This {0} is in draft form.  It will not cast influence until it is founded.,
,None ({0} is not yet founded).,
,Make Self Occupant,
,Remove All Occupants,
,Treasury:,Скарбниця:
,Culture Including Children:,
,Influence Sources:,
,Settlement {0} Requirements,
,Must contain at least {0} member {1} (currently has {2}).,
,{0} across all member {1},
,Must have at least {0} {1} (currently has {2}).,
,{0} must be greater than {1} (currently {2}).,
,Maintainence,Обслуговування
,Culture from all member settlements,
,Rooms:,Кімнати:
,"As a Cultural Property, the {0} points from each room will increase the influence radius of the owning Settlement ({1}).",
,Applying min culture for {0} foundation: {1},
,"{0} {1} on ""{2}",
,Self-Transfer Tax,
,Transfer Tax,
,Player Opinions:,
,Reputation Title:,
,Base Reputation:,
,Network Multiplier:,
,Reputation (with Network Multiplier):,
,Relative Reputation:,
,Winner is {0}.,Переможцем є {0}.
,Winners are {0}.,Переможцями є {0}.
,Election expired without enough voters to yield a valid result ({0} voted but {1} needed).,
,Election will not yield a result unless {0} of eligible voters cast a vote ({1} have voted so far).,
,"Election would end early because at least {0} of voters have voted, but results are currently tied.",
,Election ended early because more than {0} of voters have voted.,
,Individual votes are anonymous and not avaialble.,
,Not started.,Не розпочато.
,More winners allowed than there were candidates. Everyone wins!,"Було дозволено більше переможців, ніж було кандидатів. Перемогли всі!"
,Blocking early-ending of election,
,View All Votes,Переглянути всі голоси
,{0} Speech,
,Only admins may start polls not assigned to a settlement.,
,Must be a citizen of {0} to use {1}.,
,{0} started: '{1}',
,Poll winner: {0},
,Start poll: '{0}',
,Poll question: '{0}',
,Poll started: {0},
,Poll failed to produce a result.,
,Create Poll,Створити опитування
,Error Reporting,
,Taxes paid by customers:,
,{0} sales tax ({1}): {2},
,This store supports barters only (the sell cost must must be equal or more than the buy cost).,
,{0} is undiscovered.\n\nCraft {1} {2} at a {3} to discover it.,
,of {0},
,Place Claim Stake,
,No deed assigned to Claim Tool,
,You are not an owner of {0},
,You may claim plots connected to the foundation of {0} while it's in draft form.,
,Right-Click claim tool to change deeds.,
,Right-Click item to choose Deed to claim on.,
,Right-Click item to choose a different deed to claim on.,
,Pending Pickup,
,Connection complete.,Підключення завершено.
,This {0} will take effect only under the influence of the selected settlement:,
,"No settlements influence this location, disabled.",
,Must assign a settlement before this can be used.,
,"{0} does not influence this position, disabled.",
,There is only one settlement influencing this location so this cannot be changed.,
,Camera closed. You moved too far from the Tripod Camera,
,Take all items,Узяти всі предмети
,Copy,Копіювати
,Cannot place here: You are a citizen of {0} and thus must place your Homestead within it's influence.,
,"This unclaimed plot is under the influence of the {0}, of which you are a citizen.",
,Cannot claim here: This plot is influenced by {0} but you are a citizen of {1}.,
,Cannot place here: Your Homestead must be no more than {0}m away from the foundation of the {1} you are a citizen of.,
,"This plot is within {0}m of the unfounded {1} (of which you are a citizen), so you may place your homestead here.",
,"Cannot place here: This plot is under the influence of the {0}, and you are not a citizen.",
,Cannot place here: This plot is already claimed on {0}.,
,This plot is already a part of the {0}.,
,This plot is already claimed on {0}.,
,This plot cannot be claimed: it belongs to {0}.,
,This plot is already part of {0},
,This plot is {2}m away from foundation of {3} at {4}.,
,"To claim here, you must first become a citizen at the {1} foundation at {2}.",
,Avatar Observation Toggle,
,Perspective Zoom,
,Boat Fishnet Down/Up,
,"When automatic eye blinks are disabled, this sets the threshold for how closed the eyes have to be to be registered as fully closed. At 0 the eyes will never fully close.",
,"When automatic eye blinks are disabled, this sets the threshold for how open the eyes have to be to be registered as fully open. At 1 the eyes will never fully open.",
,This is the zero point of the eyebrow value. It can be used to offset the eyebrow tracking value.,
,"This is the sensitivity of the eyebrow tracking, with 0 meaning no eyebrow movement.",
,"This is the sensitivity of the face expression detection, with 0 meaning face expression will never be detected.",
,"When set to true, the head will slowly drift back to its neutral pose.",
,This sets the strength of the drifting effect. At 0 there is no drifting.,
,"This is the mouth tracking stabilization factor, with 0 being no stabilization and 1 being a fixed mouth.",
,"This is the mouth tracking stabilization factor used for wide mouth expressions, with 0 being no stabilization and 1 being a fixed mouth.",
,Eye closed threshold,
,Eye opened threshold,
,Eyebrows zero point,
,Eyebrows sensitivity,
,Expression detector sensitivity,
,Head drift back enabled,
,Head drift factor,
,Mouth open threshold,
,Mouth wide threshold,
,Block type {0} can not be picked up with this tool,
,Blast,
,Culture to Influence ({0} settings),
,Artwork Value,
,Reputation after reducing {0} Citizen contributions by {1}: {2},
,Base {0}: {1},
,Artist's reputation:,
,Picture's reputation:,
,Resulting value:,
,artist's,
,picture's,
,culture value,
,"Since you're authorized, toll is not required.",
,base,
,on solid ground,
,shaft,
,on empty space,
,Place Starter Camp,
,This will also claim some of the surrounding plots if avaialble.,
,artist,
,Base,
,Waterfront,
,in water,
,Shaft,
,Samplable,
,Tillable,
,Failed to configure static content for web plugin {0}.,
,Election not found.,
,Cannot set more than {0} folders deep.,
,Only players with specific Elected Title permission in a settlement can change its marker settings.,
,You must have permission on an Elected Title for a given settlement in order to change markers to it.,
,"Because you hold the title {0}, you are allowed to change {1} world markers.",
,Currently in picture frame: {0}.,
,{0}{1}Influence Radius,
,{0}{1}Reputation,
,Influence Radius,
,Museum Deed,
,Spawn a museum of images generating culture,
,Member Settlements,
,{0} has been ratified and {1} can be founded at any time!,
,Requirements are met and this {0} can be founded after the constitution is ratified.  See 'Constitution' tab.,
,Requirements are met and this {0} can be founded after ratification election '{1}' passes.,
,"Requirements are not met, see status tab.  You must meet these requirements, then ratify a constitution, at which point the {0} can be founded.",
,Click the button below to unveil the {0} foundation and found the {1}.,
,Homestead Foundation,
,It is a member of no settlement.,
,This deed will automatically become a member of any settlement that {0} becomes a citizen of.,
,"Can't claim here, settlement connected to this claim is missing.",
,This homestead can only be placed by {0}.,
,Can't place Homestead here.,
,Each player can only have one Homestead and you have already placed yours.,
,Homestead of {0},
,{0}'s Deed,
,"For every increase of different food types by {0}, your Variety Bonus gets 50% closer to {1}",
,"For each additional {0} on the property, its value is diminished by {1}.",
,Repeats in room yield {0} less value each.,
,Will include a dynamic '{0}' component when placed.,
,{0} gave {1} {2} reputation: {3},
,Allowing self reputation rating because you're an admin in QAmode.,
,Can't give yourself reputation.,
,Can't give reputation to something you created.,
,Only able to give {0} reputation until it replenishes for today.,
,Review: {0},
,{0} gave {1} reputation to {2}.{3},
,{0} removed {1} reputation from {2}.{3},
,No more reputation avaialble to give for today.,
,{0} doesn't hold an elected title in {1} that permits access to treasury accounts.,
,{0} Government Accounts:,
,Contracts related to {0} have become invalid.,
,That text has expired.,
,"{0}... (text truncated, hover for more)",
,{0} and more...,
,The text with ID={0} is too long to display and will be truncated.,
,{0} doesn't have access to the {1} account.,
,Can't perform trade on disabled store.,
,{0} {1} allowed to change the settlement of markers without permission.,
,is now,
,is now not,
,{0} voted for {1} in {2}.,
,No choices in that election.,
,No voter available.,
Help text for chat command /elections,Performs a variety of election operations.,
,Make a new user and force a vote in the given election for the given index of the election choices.,
,Create a bunch of test votes.,
,Vote in the given election for the given candidate using the given twitch IDIChatClient Passing null will pick a random one.,
,Generate a few elections and fill all elections with random votes.,
,Create many twitch votes with random users.,
,Create an active election of candidates that does nothing for testing purposes.,
,Create an active boolean election that does nothing for testing purposes.,
,{0} is no longer accepting new citizens.,
,"{0} has joined the world for the first time, entering as a new citizen of {1}!",
,Must supply user.,
,User must be online.,Користувач повинен бути в мережі.
,{0} statement:{1},
,Start Near {0},
,Initial Spawn Locations,
,Default Location,
,Server assigned position.,
,Generate debug data showing all the clusters we consider for initial points.,
,Advertisement should be at least {0} character of length (not countring spaces).,
,Twitch {0} {1},
,Twitch votes total {0} of all votes: capping their weight to yield {1} of total vote as per Election Process.,
,Subscriber,Підписник
,{0} {1} voted in {2} for {3},
,New Twitch votes in {0}:,
,Twitch Viewer {0},
,{0}: {1} weighted {2},
," ({0}, {1} Twitch Viewers)",
,{0} You must be a citizen of {1}.,
,{0} You must be a member of {1}.,
,Your vote for '{0}' has already been counted.,Ваш голос за «{0}» вже зараховано.
,Your vote was changed to '{0}'.,
,You voted for '{0}'.,Ви проголосували за «{0}».
,{0} complete. Winner: {1},
,{0} complete. No winner.,
,{0} has taken the position {1},
,Election finished on {0}.,
,{0} Voting Rounds:,
,Votes for {0}:,
,{0} anonymous votes not shown.,
,Full Ranked Votes Per Citizen,
,Ranked Votes of {0},
,You cannot vote in this election.,
,Provisions:,
,Final Results:,Кінцеві результати:
,Current Vote Totals:,
,Actions Taken On Completion:,
,"After each round, the lowest candidate(s) are removed, and any citizens who voted for them have their votes set to their next highest preference.",
,Twitch Votes,
,Election for {0}. Currently {1}.,
,{0} have been removed from this position.,
,Votes in {0},
,A new constitution {0} has been ratified in {1}!  The {2} can now be founded at any time.,
,You cannot create or make changes here until a constitution exists or is proposed for ratification.,
,Civic Powers not updated.,
,"By article {0}, you may {1} (or start an election of type {2}).",
,"By article {0}, you may {1}.",
,"By article {0}, you may start an election of type {1} to {2}.",
,Twitch Linking Poll Error: {0},
,Used to simulate underwater effect.,
,Enables sun rays effect.,
,Used to simulate fog or mist in outdoor environments.,
,Ambient occlusion ensures more realistic ambient lighting by calculating just how bright certain parts of the screen should be based on geometry.,
,"Graphics effect used to make visuals look more realistic by adding a level of reflection to the surface, like in real life.",
,Used to refract light when looking through glass.,
,Water quality.,Якість води.
,Show FPS,Показувати FPS
,Display FPS count in a corner of the screen at all times.,
,Performance Impact: Low,
,Performance Impact: Average,
,Performance Impact: High,
,Failed to perform platform action ({0}) on platform: {1},
,Boat,
,Build {0} blocks,
,Can't build here,
,Not attached to the ground,
,Blocked by {0},
,"Text is too long, max length excluding tags cannot exceed {0} characters.",
,Text is too long! Your new title {0} ({1}) exceedes max length of {2} characters.,
,"For every +{0}, the resulting {1} will get {2} closer to {3}.",
,"At current values, +{0} will yield +{1}",
,{0} above,
,"For every {0} increase in {1}, the resulting {2} will get 50% closer to the limit, {3}.",
should be unisex translation,An,
should be unisex translation,A,
,Admin action,
,Can't find species with name {0},
,This command can be used only after world generation with no restarts of server.,
,Twitcher {0},
,You were invited to become a {0} by {1}.{2}You may accept at {3} at {4}.,
,Your application to become a {0} was rejected.,
,Select Citizens,
,Citizens invited: ,
,Take the {0} from your tent and select it.,
,Pick up the stone pieces by pressing {0}.,
,Control your Camera,
,Hold {0} to zoom.,
,Press {0} and {1} to move.,Натисніть {0} та {1} для руху.
,Press {0} to jump.,Натисніть {0} для стрибка.
,Press {0} to toggle the mouse cursor.,"Натисніть {0}, щоби перемкнутися на курсор миші."
,Open the construction menu by pressing and holding  {0}.,"Відкрийте меню будівництва, затиснувши {0}."
,Open Ecopedia by pressing the {0} key or by clicking the icon that is being pointed to.,"Відкрийте Екопедію, натиснувши кнопку {0} або клацнувши по значку, на який вказано."
,How to Start a Town,
,Watch Towns introduction,
,{0} has learned the specialty {1:skill name}!,
,{0} per active/abandoned citizen: {1}/{2} ({3} spawned),
,{0} Foundation Deed,
,Anyone can approve new settlements since this one has no creator.,
,"{0} is not a member, invited or applicant and cannot be removed.",
,The {0} {1} has been removed as a member/invited/applicant of the {2} {3}.,
,Select Member Settlements,
,Contains member settlements:,
,Member of the {0}.,
,Not a member of any other Settlement.,
,Global Settlement,Глобальне врегулювання
,Must have {0} of plots under the influence of {1} in order to become a citizen (or no claimed plots at all).,
,"You're already a citizen or the leader of {0}, to create a new settlement of the same type you need to leave that one first.",
,Culture to Influence within {0}:,
,Settings on Immigration Policies:,
,"Spawned {0}, {1}, {2}.",
,Spawned homestead for {0}.,
,"This command is only made for testing which means it can lead to some weird results, are you sure you want that on your conscience ?",
,This settlement doesn't have a foundation to spawn claim stakes in.,
,This settlement doesn't have a foundation to spawn claim papers in.,
,Your homestead wasn't placed yet.,
,"Create a nested homestead, town, country, and federation with simple force-enabled objects.",
,Create a homestead for the passed user or a test user if null.,
,GetHomesteadBack,
,"The selected settlement is a {0}, but it must be a lower tier than {1}.",
,"The selected settlement is a {0}, but it must be a {1}.",
,"To join a {0} before it's founded, your Homestead ({1}) must be either not placed, or placed within {2}m of the foundation ({3}), but is {4}m away.",
,"You have {0} of your Homestead plots in the influence range of {1}, but you have {2}.",
,Either move your Homestead plots closer or remove the homestead entirely to become a Citizen.,
,{0} removed from {1} applicants because they joined the {2}.,
,{0} removed from {1} invitation list because they joined the {2}.,
,"Cannot join as citizen, Homestead too far.",
,Note: Citizens of member settlements will automatically be Citizens as well but not listed here. This list is direct Citizens only.,
,"If you can't access your homestead, you can pick it up remotely via /GetHomesteadBack.",
,This list shows the sources that allow you to claim plots on this claim stake.,
,Claim Papers: {0},
,More plots can be claimed by selecting a {0}.,
,Only claim papers may be placed here. Adding claim papers will increase the number of plots that can be claimed on this object,
,Claim papers should be of {0} origin or any of its parent settlements.,
,Claim papers can't be used with {0} because it isn't part of any settlement.,
,Can't change assigned deed. You are not an owner on any deeds.,
,Can't change assigned deed. You only have access to one deed and it's already assigned ({0}).,
,Claim Tool assigned to {0}.,
,Claiming here would reduce the percent of plots within influence range of {0} to {1}.,
,Claim mode disabled because you don't own any deed.,
,Allows adding or removing plots from any deeds you own.,
,Choose Deed for Claim Tool,
,This list shows deeds you own and can claim/unclaim plots for.,
,Unclaim,
,Source settlement must be founded.,
,Annexations can be performed at an {0}.,
,{0} was forced to become a citizen of {1}.,
,Annexation Details.,
,Must be in a room that has all its plots claimed.,
,All plots under the room are claimed on a single deed,
,Room invalid: Contains {0} objects that prevent housing objects from providing any house value.,
,Room invalid: All plots under the room must be on a single deed.,
,Vol: {0} Tier: {1},
,Couldn't find claim tool in toolbar.,
,Claim Tool unlimited claiming set to {0}.,
